reviewer,date,rating,title,text,source
N/A,N/A,N/A,No Data,No pros/cons found,Momondo
553amela,N/A,N/A,No Title,"Un hôtel exceptionnel au cœur de Tunis !|Je le recommande vivement à toute personne de passage ou en mission dans le centre. Le personnel est d’une grande gentillesse et très professionnel. Un immense merci aux réceptionnistes Saousen, …",Google Maps
Sabrina Deleurme,N/A,N/A,No Title,"Bonjour,

Je vous écris pour vous faire part de mon immense déception – et pour être …",Google Maps
C’pas des lol,N/A,N/A,No Title,Une véritable honte pour l’hôtellerie tunisienne. Cet établissement n’a absolument rien d’un hôtel professionnel. L’ambiance est indigne d’un lieu censé accueillir des voyageurs — impossible d’y trouver le moindre calme ou repos. …,Google Maps
BilelHachicha,N/A,N/A,No Title,Un véritable sans-faute – une référence à Tunis !|Un hôtel et service de 7 étoiles de Lux. |J’ai séjourné au Business Hôtel de Tunis – Montplaisir et je ne peux que recommander chaudement cet établissement. Il coche absolument toutes les …,Google Maps
Nabil,N/A,N/A,No Title,"Excellent séjour au Business Hôtel !
J’ai passé un séjour exceptionnel dans cet établissement. L’emplacement est parfait, en plein cœur de Tunis, ce qui facilite les déplacements pour affaires …",Google Maps
Joelle Levray,N/A,N/A,No Title,"Très bon hôtel, très propre, service impeccable, personnel très gentil. Restaurant au top ainsi que les petits déjeuner. Nous recommandons à 100%",Google Maps
909melekz,N/A,N/A,No Title,"L’hôtel offre un cadre agréable, calme et propice à la détente. L’ambiance y est chaleureuse, et le personnel dans l’ensemble est accueillant. Le service est correct, la nourriture est bonne mais pourrait être un peu plus variée. Quelques …",Google Maps
Bessem Bouzouita,N/A,N/A,No Title,"L’hotel est bon mais la,discothèque jusqu,à 1h du matin .aussi aujourd’hui après deux nuitees à l’hotel, la receptionniste m’a demande de payer une consommation de mini bar de lachambre malgré que je n’ai rien consomme et elle a insisté de payer et je n’ai rien consomme",Google Maps
Travel50456288734,N/A,N/A,No Title,"J’ai passé un excellent séjour au Business Hotel. L’établissement est propre, bien entretenu, et parfaitement adapté aux séjours professionnels. Un grand merci à tout le personnel pour leur gentillesse, leur professionnalisme et leur …",Google Maps
Ines Driving,N/A,N/A,No Title,Très bon hotel propre et personnel tres gentille et serviable . Petit déjeuner a hauteur de 4 étoiles. A refaire,Google Maps
watman01,N/A,N/A,No Title,"Très bel hôtel, propre et chaleureux. Le personnel est extraordinaire, très réactif, serviable et d une  grande gentillesse. |Nous avons été conquis par l ambiance générale. |Si il y a un point négatif à trouver c est le manque de lumière …",Google Maps
Narimane Khelidj,N/A,N/A,No Title,Magnifique hôtel et une équipe très professionnelle je recommande fortement 🇩🇿🇹🇳 …,Google Maps
Samar Bacha,N/A,N/A,No Title,"Un hôtel sublime. Très pratique, la nourriture est délicieuse, le personnel est accueillant et chaleureux surtout Maroua et la fille de la réception, les chambres sont très super et propres.❤️",Google Maps
stocklinn,N/A,N/A,No Title,"J’ai réservé sur booking une suite 1 mois avant d’arriver, et garanti la réservation avec ma carte de crédit.|Le jour j, je devais arriver à l’hôtel pour 14h. A 10h, je reçois une notification booking de ma carte refusée pour le paiement, …",Google Maps
CTPH France,N/A,N/A,No Title,"J'ai passer 4 jours dans cet hôtel, et franchement impeccable, l'hôtel est propre les chambres sont très sympa, le personnel est très pro et très sympa également. On peux boire un verre sur le roof top a l'étage, j'ai bien apprécier mon …",Google Maps
Vanessa,N/A,N/A,No Title,"Nous avons séjourné en 1/2 pension dans cet hôtel...endroit propre et cuisine très copieuse. Pension spéciale à l'équipe : que ce soit le monsieur sécurité 😉 Mohamed, la belle Oumaima, Mimi ...tous la pour nous aider au mieux. Merci à eux! …",Google Maps
Badreddine EL ABED,N/A,N/A,No Title,"Nous avons séjourné plusieurs fois a l'hôtel business hotel tunis, c'est vraiment un très bel hôtel, pratique et bien situé par rapport à nos besoin.
Merci a tte l'équipe qui s'est occupé de nous durant notre séjour début mars. …",Google Maps
strimissa,N/A,N/A,No Title,"Très bel hôtel, chambres spacieuses et d'une propreté impeccable, deux bars dont un au dernier étage où l'on peut boire un cocktail en regardant la vue, service impeccable... cet hôtel frôle pratiquement la perfection, et je recommande …",Google Maps
Fatma Jl,N/A,N/A,No Title,"J’ai passé une semaine dans cet hôtel, j’étais très satisfaite, Équipe chaleureuse commençant par la réception à travers Oumaima, la réceptionniste qui était très accueillante dés notre arrivée, l’équipe de sécurité aussi était très …",Google Maps
Sarah Angel,N/A,N/A,No Title,"‼️‼️À toi qui cherche l’avis le plus honnête ‼️‼️

Belle entrée, une odeur de jasmin nous caresse les narines🌸🌸. …",Google Maps
Youssef Berrada,N/A,N/A,No Title,"Tout est bien seule inconvénient la musique qui tape aux oreilles jusqu'à 2h00 du matin, malgré les maintes réclamations....",Google Maps
130abdellatifc,N/A,N/A,No Title,"Accueil chaleureux, personnels à l'écoute, services impeccables ( nourriture, boissons .... ) ❤️....................",Google Maps
Pauline Crista,N/A,N/A,No Title,"Horrible, passez votre chemin, discothèque dans l'hôtel, nous avons passé la pire nuit en Tunisie et tout simplement dans un hôtel et nous voyageons beaucoup !!! …",Google Maps
lionel dumourier,N/A,N/A,No Title,Très bonne chambre personnelle au top mais trop bruyant la nuit pas aller dans cet hôtel pour vous reposer pas Grand chose a faire au alentour a pieds,Google Maps
Grégoire A,N/A,N/A,No Title,"Un hôtel avec une boîte de nuit sur le toit… Il y a du bruit tous les soirs, impossible de dormir avant 1H du matin. Problématique pour un hôtel « business ». C’est dommage car les chambres sont biens, et le personnel agréable.",Google Maps
